,"DDe ep pth th |
(cm)
(cm)","Hori-
Hori-
zzo on n |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
((%%) )","SSiilltt
(0.05-
(0.05-
0.002mm)|
0.002mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%%) )","Texture
Texture","| CCo oa ars rse e
ffr ra ag g. . |
vvool.l . |
((%%) )","| ppH H
11: :2 2. .5
5
water
water","EC
EC
| 11: :2 2. .5 5
| wwa ate ter r
(dS/m)
(dS/m)",lat_long,page,x,y,state
499,"111 1- -2 23 |
3","BBw wi
l","46.4
46.4","17.8
17.8","28.6
28.6",ssccl i,"-
-",55..00,"0.08
0.08",,199,21.49166667,88.52777778,Orissa
500,223 3- -4 49 9 |,"BBw w2
2","pee
51.5","ee
17.1","31.4
31.4",ssccli,"-
-
|",55..22,"0.04
0.04",,199,21.49166667,88.52777778,Orissa
501,"49-73
49-73","BC
BC","40.1
40.1","30.3
30.3","29.6
29.6",ccll,"40
40
|",55..22,"0.05
0.05",,199,21.49166667,88.52777778,Orissa
502,"73+
73+",CCrr,"weathered parent materials
weathered parent materials",,,,,,,,199,21.49166667,88.52777778,Orissa
503,"Depth |
| Depth
(em) |
(cm)","Hori-|
Hori-
zon |
zon","Sand
Sand
(2.0-0.05 |
(2.0-0.05
mim)
mm)
((%%) )","Silt
Silt
(0.05- |
(0.05-
0.002mm)
0.002mm)
((%%) ) _","Clay |
Clay
(<0.002
«0.002
mm)
mm)
((%%) )","Texture
Texture","| CCo oa ars rse e
frag. |
frag.
vol.
vol.
((%%) )","| pH
pH
1:2.5
1:2.5
water
water","EC
EC
| 1:2.5
1:2.5
| wwa ate ter r
(dS/m)
(dS/m)",,203,21.78333334,87.29166667,Orissa
504,"0-21
0-21",AApp,4477..44,1144..11,"38.5
38.5",sscc,"-
-",66..44,"0.76
0.76",,203,21.78333334,87.29166667,Orissa
505,2211 -- 5533,"Bwl
Bwl",1166..99,"40.5
40.5","42.6
42.6",ssiicc,"-
-","6.7
6.7","0.64
0.64",,203,21.78333334,87.29166667,Orissa
506,553 3 -— 8844,"Bw2
Bw2",1100..44,"44.9
44.9","44.7
44.7",ssiicc,"-
-",66..99,"0.59
0.59",,203,21.78333334,87.29166667,Orissa
507,88 44 - -1 2 ]23 3 |,"BBw w3
3",88..88,"45.5
45.5","45.7
45.7",ssiicc,--,"7.0
7.0","0.52
0.52",,203,21.78333334,87.29166667,Orissa
508,"0-11
0- 11","Ap
AQ_","68.5
68.5","19.2
19.2","12.3
12.3","sl
51","-
-",66..44,"0.69
0.69","19°53' N and 84°5'30"" E ",205,19.88333333,84.09166667,Orissa
509,I1]] -- 44]1,"Btl
Bt]","62.3
62.3","19.5
19.5","18.2
18.2","sl
51",--,66..77,"0.53
0.53","19°53' N and 84°5'30"" E ",205,19.88333333,84.09166667,Orissa
